"study","es_id","yi","vi","target_group","format","diagnosis","type","control","region","risk_of_bias"
"aagaard, 2017",1,0,0.0535714285714286,"adults","group","diagnosis","cbt-based","cau","europe","some concern"
"allart van dam, 2003",11,0.569637930381429,0.04239850255515,"adults","group","subclinical depression","cbt-based","cau","europe","some concern"
"andersson, 2005",17,0.954452252023103,0.0536431149355283,"adults","guided self-help","cut-off score","cbt-based","other ctr","europe","some concern"
"andersson, 2005",18,0.789966088247678,0.0519242593303709,"adults","guided self-help","cut-off score","cbt-based","other ctr","europe","some concern"
"arjadi, 2018",31,0.388644587098011,0.0130252689191716,"adults","guided self-help","diagnosis","cbt-based","other ctr","other region","low"
"barber, 2012",41,0.0989335546931013,0.0632562500396611,"adults","individual","diagnosis","not-cbt-based","other ctr","north america","some concern"
"barnhofer, 2009",43,0.915046805453178,0.143404849460457,"adults","group","diagnosis","cbt-based","cau","europe","low"
"barrett, 2001",46,0.270056935486176,0.0676680762182756,"adults","individual","diagnosis","cbt-based","other ctr","north america","low"
"barrett, 2001",47,-0.00259805101498038,0.0885019416107611,"adults","individual","diagnosis","cbt-based","other ctr","north america","low"
"baumgartner, 2021",51,0.317575968024231,0.00890958836810848,"adults","guided self-help","cut-off score","cbt-based","wl","europe","low"
"baumgartner, 2021",52,0.280234965057659,0.00863118073482311,"adults","guided self-help","cut-off score","cbt-based","wl","europe","low"
"bohlmeijer, 2011",68,0.59646942415914,0.0450802213519354,"adults","group","cut-off score","cbt-based","wl","europe","low"
"bolton, 2003",69,1.31674927974785,0.0171596278958404,"adults","group","diagnosis","not-cbt-based","cau","other region","some concern"
"buntrock, 2015",88,0.658398329665977,0.0103882973881714,"adults","guided self-help","subclinical depression","not-cbt-based","cau","europe","low"
"carlbring, 2013",98,0.854581359864437,0.0546537836973204,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"carlbring, 2013",99,0.633042612109873,0.0525536728069755,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"carr, 2017",101,0.398629852531653,0.0497969462450945,"adults","group","diagnosis","cbt-based","cau","europe","some concern"
"carr, 2017",102,0.295986967676178,0.049353911794891,"adults","group","diagnosis","cbt-based","cau","europe","some concern"
"carr, 2017",103,0.31429137826574,0.0494233257934223,"adults","group","diagnosis","cbt-based","cau","europe","some concern"
"carta, 2012",104,0.248029997930288,0.0632376053748758,"adults","individual","diagnosis","cbt-based","cau","europe","some concern"
"casanas, 2012",105,0.287004412196639,0.0175114010456429,"adults","group","diagnosis","cbt-based","cau","europe","low"
